image_path,shape_count
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_0,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_1,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_2,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_3,9
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_4,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_5,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_6,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_7,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_8,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_9,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_10,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_11,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_12,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_13,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_14,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_15,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_16,11
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_17,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_18,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_19,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_20,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_21,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_22,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_23,11
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_24,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_25,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_26,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_27,2
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_28,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_29,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_30,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_31,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_32,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_33,2
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_34,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_35,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_36,9
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_37,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_38,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_39,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_40,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_41,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_42,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_43,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_44,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_45,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_46,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_47,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_48,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_49,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_50,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_51,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_52,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_53,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_54,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_55,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_56,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_57,6
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_58,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_59,6
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_60,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_61,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_62,6
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_63,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_64,2
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_65,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_66,9
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_67,8
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_68,6
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_69,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_70,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_71,11
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_72,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_73,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_74,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_75,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_76,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_77,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_78,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_79,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_80,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_81,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_82,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_83,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_84,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_85,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_86,11
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_87,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_88,2
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_89,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_90,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_91,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_92,4
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_93,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_94,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_95,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_96,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_97,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_98,1
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_99,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_100,2
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_101,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_102,8
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_103,11
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_104,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_105,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_106,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_107,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_108,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_109,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_110,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_111,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_112,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_113,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_114,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_115,7
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_116,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_117,9
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_118,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_119,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_120,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_121,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_122,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_123,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_124,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_125,8
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_126,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_127,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_128,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_129,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_130,10
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_131,16
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_132,5
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_133,17
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_134,6
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_135,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_136,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_137,9
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_138,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_139,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_140,3
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_141,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_142,8
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_143,1
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_144,18
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_145,15
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_146,13
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_147,20
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_148,12
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_149,19
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_150,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_151,14
./CircSqrTriRecElp_BonW/CircSqrTriRecElp_BonW_152,15
