image_path,shape_count
./CircSqrTri_WonB/CircSqrTri_WonB_0,6
./CircSqrTri_WonB/CircSqrTri_WonB_1,1
./CircSqrTri_WonB/CircSqrTri_WonB_2,4
./CircSqrTri_WonB/CircSqrTri_WonB_3,9
./CircSqrTri_WonB/CircSqrTri_WonB_4,2
./CircSqrTri_WonB/CircSqrTri_WonB_5,8
./CircSqrTri_WonB/CircSqrTri_WonB_6,7
./CircSqrTri_WonB/CircSqrTri_WonB_7,5
./CircSqrTri_WonB/CircSqrTri_WonB_8,7
./CircSqrTri_WonB/CircSqrTri_WonB_9,4
./CircSqrTri_WonB/CircSqrTri_WonB_10,3
./CircSqrTri_WonB/CircSqrTri_WonB_11,3
./CircSqrTri_WonB/CircSqrTri_WonB_12,7
./CircSqrTri_WonB/CircSqrTri_WonB_13,10
./CircSqrTri_WonB/CircSqrTri_WonB_14,4
./CircSqrTri_WonB/CircSqrTri_WonB_15,4
./CircSqrTri_WonB/CircSqrTri_WonB_16,4
./CircSqrTri_WonB/CircSqrTri_WonB_17,2
./CircSqrTri_WonB/CircSqrTri_WonB_18,7
./CircSqrTri_WonB/CircSqrTri_WonB_19,8
./CircSqrTri_WonB/CircSqrTri_WonB_20,3
./CircSqrTri_WonB/CircSqrTri_WonB_21,6
./CircSqrTri_WonB/CircSqrTri_WonB_22,10
./CircSqrTri_WonB/CircSqrTri_WonB_23,6
./CircSqrTri_WonB/CircSqrTri_WonB_24,6
./CircSqrTri_WonB/CircSqrTri_WonB_25,4
./CircSqrTri_WonB/CircSqrTri_WonB_26,2
./CircSqrTri_WonB/CircSqrTri_WonB_27,7
./CircSqrTri_WonB/CircSqrTri_WonB_28,5
./CircSqrTri_WonB/CircSqrTri_WonB_29,10
./CircSqrTri_WonB/CircSqrTri_WonB_30,9
./CircSqrTri_WonB/CircSqrTri_WonB_31,7
./CircSqrTri_WonB/CircSqrTri_WonB_32,3
./CircSqrTri_WonB/CircSqrTri_WonB_33,2
./CircSqrTri_WonB/CircSqrTri_WonB_34,3
./CircSqrTri_WonB/CircSqrTri_WonB_35,6
./CircSqrTri_WonB/CircSqrTri_WonB_36,5
./CircSqrTri_WonB/CircSqrTri_WonB_37,3
./CircSqrTri_WonB/CircSqrTri_WonB_38,3
./CircSqrTri_WonB/CircSqrTri_WonB_39,8
./CircSqrTri_WonB/CircSqrTri_WonB_40,9
./CircSqrTri_WonB/CircSqrTri_WonB_41,5
./CircSqrTri_WonB/CircSqrTri_WonB_42,9
./CircSqrTri_WonB/CircSqrTri_WonB_43,7
./CircSqrTri_WonB/CircSqrTri_WonB_44,10
./CircSqrTri_WonB/CircSqrTri_WonB_45,8
./CircSqrTri_WonB/CircSqrTri_WonB_46,9
./CircSqrTri_WonB/CircSqrTri_WonB_47,5
./CircSqrTri_WonB/CircSqrTri_WonB_48,10
./CircSqrTri_WonB/CircSqrTri_WonB_49,3
./CircSqrTri_WonB/CircSqrTri_WonB_50,6
./CircSqrTri_WonB/CircSqrTri_WonB_51,5
./CircSqrTri_WonB/CircSqrTri_WonB_52,7
./CircSqrTri_WonB/CircSqrTri_WonB_53,9
./CircSqrTri_WonB/CircSqrTri_WonB_54,7
./CircSqrTri_WonB/CircSqrTri_WonB_55,4
./CircSqrTri_WonB/CircSqrTri_WonB_56,2
./CircSqrTri_WonB/CircSqrTri_WonB_57,10
./CircSqrTri_WonB/CircSqrTri_WonB_58,3
./CircSqrTri_WonB/CircSqrTri_WonB_59,4
./CircSqrTri_WonB/CircSqrTri_WonB_60,4
./CircSqrTri_WonB/CircSqrTri_WonB_61,5
./CircSqrTri_WonB/CircSqrTri_WonB_62,6
./CircSqrTri_WonB/CircSqrTri_WonB_63,8
./CircSqrTri_WonB/CircSqrTri_WonB_64,2
./CircSqrTri_WonB/CircSqrTri_WonB_65,8
./CircSqrTri_WonB/CircSqrTri_WonB_66,9
./CircSqrTri_WonB/CircSqrTri_WonB_67,7
./CircSqrTri_WonB/CircSqrTri_WonB_68,10
./CircSqrTri_WonB/CircSqrTri_WonB_69,4
./CircSqrTri_WonB/CircSqrTri_WonB_70,6
./CircSqrTri_WonB/CircSqrTri_WonB_71,8
./CircSqrTri_WonB/CircSqrTri_WonB_72,7
./CircSqrTri_WonB/CircSqrTri_WonB_73,6
./CircSqrTri_WonB/CircSqrTri_WonB_74,3
./CircSqrTri_WonB/CircSqrTri_WonB_75,7
./CircSqrTri_WonB/CircSqrTri_WonB_76,8
./CircSqrTri_WonB/CircSqrTri_WonB_77,4
./CircSqrTri_WonB/CircSqrTri_WonB_78,4
./CircSqrTri_WonB/CircSqrTri_WonB_79,9
./CircSqrTri_WonB/CircSqrTri_WonB_80,7
./CircSqrTri_WonB/CircSqrTri_WonB_81,2
./CircSqrTri_WonB/CircSqrTri_WonB_82,2
./CircSqrTri_WonB/CircSqrTri_WonB_83,9
./CircSqrTri_WonB/CircSqrTri_WonB_84,4
./CircSqrTri_WonB/CircSqrTri_WonB_85,8
./CircSqrTri_WonB/CircSqrTri_WonB_86,3
./CircSqrTri_WonB/CircSqrTri_WonB_87,8
./CircSqrTri_WonB/CircSqrTri_WonB_88,10
./CircSqrTri_WonB/CircSqrTri_WonB_89,2
./CircSqrTri_WonB/CircSqrTri_WonB_90,6
./CircSqrTri_WonB/CircSqrTri_WonB_91,9
./CircSqrTri_WonB/CircSqrTri_WonB_92,5
./CircSqrTri_WonB/CircSqrTri_WonB_93,3
./CircSqrTri_WonB/CircSqrTri_WonB_94,2
./CircSqrTri_WonB/CircSqrTri_WonB_95,6
./CircSqrTri_WonB/CircSqrTri_WonB_96,3
./CircSqrTri_WonB/CircSqrTri_WonB_97,1
./CircSqrTri_WonB/CircSqrTri_WonB_98,7
./CircSqrTri_WonB/CircSqrTri_WonB_99,3
./CircSqrTri_WonB/CircSqrTri_WonB_100,6
./CircSqrTri_WonB/CircSqrTri_WonB_101,7
./CircSqrTri_WonB/CircSqrTri_WonB_102,3
./CircSqrTri_WonB/CircSqrTri_WonB_103,9
./CircSqrTri_WonB/CircSqrTri_WonB_104,7
./CircSqrTri_WonB/CircSqrTri_WonB_105,5
./CircSqrTri_WonB/CircSqrTri_WonB_106,10
./CircSqrTri_WonB/CircSqrTri_WonB_107,5
./CircSqrTri_WonB/CircSqrTri_WonB_108,2
./CircSqrTri_WonB/CircSqrTri_WonB_109,7
./CircSqrTri_WonB/CircSqrTri_WonB_110,4
./CircSqrTri_WonB/CircSqrTri_WonB_111,10
./CircSqrTri_WonB/CircSqrTri_WonB_112,4
./CircSqrTri_WonB/CircSqrTri_WonB_113,6
./CircSqrTri_WonB/CircSqrTri_WonB_114,9
./CircSqrTri_WonB/CircSqrTri_WonB_115,9
./CircSqrTri_WonB/CircSqrTri_WonB_116,7
./CircSqrTri_WonB/CircSqrTri_WonB_117,5
./CircSqrTri_WonB/CircSqrTri_WonB_118,9
./CircSqrTri_WonB/CircSqrTri_WonB_119,10
./CircSqrTri_WonB/CircSqrTri_WonB_120,9
./CircSqrTri_WonB/CircSqrTri_WonB_121,7
./CircSqrTri_WonB/CircSqrTri_WonB_122,6
./CircSqrTri_WonB/CircSqrTri_WonB_123,7
./CircSqrTri_WonB/CircSqrTri_WonB_124,6
./CircSqrTri_WonB/CircSqrTri_WonB_125,6
./CircSqrTri_WonB/CircSqrTri_WonB_126,3
./CircSqrTri_WonB/CircSqrTri_WonB_127,10
./CircSqrTri_WonB/CircSqrTri_WonB_128,9
./CircSqrTri_WonB/CircSqrTri_WonB_129,8
./CircSqrTri_WonB/CircSqrTri_WonB_130,4
./CircSqrTri_WonB/CircSqrTri_WonB_131,5
./CircSqrTri_WonB/CircSqrTri_WonB_132,4
./CircSqrTri_WonB/CircSqrTri_WonB_133,9
./CircSqrTri_WonB/CircSqrTri_WonB_134,2
./CircSqrTri_WonB/CircSqrTri_WonB_135,7
./CircSqrTri_WonB/CircSqrTri_WonB_136,9
./CircSqrTri_WonB/CircSqrTri_WonB_137,4
./CircSqrTri_WonB/CircSqrTri_WonB_138,3
./CircSqrTri_WonB/CircSqrTri_WonB_139,7
./CircSqrTri_WonB/CircSqrTri_WonB_140,5
./CircSqrTri_WonB/CircSqrTri_WonB_141,3
./CircSqrTri_WonB/CircSqrTri_WonB_142,9
./CircSqrTri_WonB/CircSqrTri_WonB_143,2
./CircSqrTri_WonB/CircSqrTri_WonB_144,10
./CircSqrTri_WonB/CircSqrTri_WonB_145,5
./CircSqrTri_WonB/CircSqrTri_WonB_146,4
./CircSqrTri_WonB/CircSqrTri_WonB_147,10
./CircSqrTri_WonB/CircSqrTri_WonB_148,6
./CircSqrTri_WonB/CircSqrTri_WonB_149,6
./CircSqrTri_WonB/CircSqrTri_WonB_150,2
./CircSqrTri_WonB/CircSqrTri_WonB_151,3
./CircSqrTri_WonB/CircSqrTri_WonB_152,9
./CircSqrTri_WonB/CircSqrTri_WonB_153,8
./CircSqrTri_WonB/CircSqrTri_WonB_154,5
./CircSqrTri_WonB/CircSqrTri_WonB_155,7
./CircSqrTri_WonB/CircSqrTri_WonB_156,10
./CircSqrTri_WonB/CircSqrTri_WonB_157,5
./CircSqrTri_WonB/CircSqrTri_WonB_158,6
./CircSqrTri_WonB/CircSqrTri_WonB_159,1
./CircSqrTri_WonB/CircSqrTri_WonB_160,9
./CircSqrTri_WonB/CircSqrTri_WonB_161,7
./CircSqrTri_WonB/CircSqrTri_WonB_162,4
./CircSqrTri_WonB/CircSqrTri_WonB_163,4
./CircSqrTri_WonB/CircSqrTri_WonB_164,6
./CircSqrTri_WonB/CircSqrTri_WonB_165,9
./CircSqrTri_WonB/CircSqrTri_WonB_166,9
./CircSqrTri_WonB/CircSqrTri_WonB_167,7
./CircSqrTri_WonB/CircSqrTri_WonB_168,8
./CircSqrTri_WonB/CircSqrTri_WonB_169,3
./CircSqrTri_WonB/CircSqrTri_WonB_170,6
./CircSqrTri_WonB/CircSqrTri_WonB_171,7
./CircSqrTri_WonB/CircSqrTri_WonB_172,2
./CircSqrTri_WonB/CircSqrTri_WonB_173,4
./CircSqrTri_WonB/CircSqrTri_WonB_174,5
./CircSqrTri_WonB/CircSqrTri_WonB_175,10
./CircSqrTri_WonB/CircSqrTri_WonB_176,5
./CircSqrTri_WonB/CircSqrTri_WonB_177,4
./CircSqrTri_WonB/CircSqrTri_WonB_178,6
./CircSqrTri_WonB/CircSqrTri_WonB_179,5
./CircSqrTri_WonB/CircSqrTri_WonB_180,9
./CircSqrTri_WonB/CircSqrTri_WonB_181,10
./CircSqrTri_WonB/CircSqrTri_WonB_182,8
./CircSqrTri_WonB/CircSqrTri_WonB_183,7
./CircSqrTri_WonB/CircSqrTri_WonB_184,10
./CircSqrTri_WonB/CircSqrTri_WonB_185,10
./CircSqrTri_WonB/CircSqrTri_WonB_186,5
./CircSqrTri_WonB/CircSqrTri_WonB_187,6
./CircSqrTri_WonB/CircSqrTri_WonB_188,10
./CircSqrTri_WonB/CircSqrTri_WonB_189,8
./CircSqrTri_WonB/CircSqrTri_WonB_190,5
./CircSqrTri_WonB/CircSqrTri_WonB_191,8
./CircSqrTri_WonB/CircSqrTri_WonB_192,3
./CircSqrTri_WonB/CircSqrTri_WonB_193,3
./CircSqrTri_WonB/CircSqrTri_WonB_194,2
./CircSqrTri_WonB/CircSqrTri_WonB_195,9
./CircSqrTri_WonB/CircSqrTri_WonB_196,6
./CircSqrTri_WonB/CircSqrTri_WonB_197,8
./CircSqrTri_WonB/CircSqrTri_WonB_198,8
./CircSqrTri_WonB/CircSqrTri_WonB_199,4
./CircSqrTri_WonB/CircSqrTri_WonB_200,2
./CircSqrTri_WonB/CircSqrTri_WonB_201,3
./CircSqrTri_WonB/CircSqrTri_WonB_202,5
./CircSqrTri_WonB/CircSqrTri_WonB_203,10
./CircSqrTri_WonB/CircSqrTri_WonB_204,3
./CircSqrTri_WonB/CircSqrTri_WonB_205,6
./CircSqrTri_WonB/CircSqrTri_WonB_206,10
./CircSqrTri_WonB/CircSqrTri_WonB_207,4
./CircSqrTri_WonB/CircSqrTri_WonB_208,4
./CircSqrTri_WonB/CircSqrTri_WonB_209,4
./CircSqrTri_WonB/CircSqrTri_WonB_210,10
./CircSqrTri_WonB/CircSqrTri_WonB_211,2
./CircSqrTri_WonB/CircSqrTri_WonB_212,9
./CircSqrTri_WonB/CircSqrTri_WonB_213,10
./CircSqrTri_WonB/CircSqrTri_WonB_214,6
./CircSqrTri_WonB/CircSqrTri_WonB_215,1
./CircSqrTri_WonB/CircSqrTri_WonB_216,1
./CircSqrTri_WonB/CircSqrTri_WonB_217,10
./CircSqrTri_WonB/CircSqrTri_WonB_218,9
./CircSqrTri_WonB/CircSqrTri_WonB_219,8
./CircSqrTri_WonB/CircSqrTri_WonB_220,10
./CircSqrTri_WonB/CircSqrTri_WonB_221,9
./CircSqrTri_WonB/CircSqrTri_WonB_222,3
./CircSqrTri_WonB/CircSqrTri_WonB_223,5
./CircSqrTri_WonB/CircSqrTri_WonB_224,7
./CircSqrTri_WonB/CircSqrTri_WonB_225,10
./CircSqrTri_WonB/CircSqrTri_WonB_226,4
./CircSqrTri_WonB/CircSqrTri_WonB_227,3
./CircSqrTri_WonB/CircSqrTri_WonB_228,7
./CircSqrTri_WonB/CircSqrTri_WonB_229,9
./CircSqrTri_WonB/CircSqrTri_WonB_230,4
./CircSqrTri_WonB/CircSqrTri_WonB_231,5
