image_path,shape_count
./Circ_BonW/Circ_BonW_0,16
./Circ_BonW/Circ_BonW_1,20
./Circ_BonW/Circ_BonW_2,9
./Circ_BonW/Circ_BonW_3,13
./Circ_BonW/Circ_BonW_4,6
./Circ_BonW/Circ_BonW_5,20
./Circ_BonW/Circ_BonW_6,15
./Circ_BonW/Circ_BonW_7,2
./Circ_BonW/Circ_BonW_8,10
./Circ_BonW/Circ_BonW_9,12
./Circ_BonW/Circ_BonW_10,1
./Circ_BonW/Circ_BonW_11,11
./Circ_BonW/Circ_BonW_12,12
./Circ_BonW/Circ_BonW_13,8
./Circ_BonW/Circ_BonW_14,20
./Circ_BonW/Circ_BonW_15,20
./Circ_BonW/Circ_BonW_16,20
./Circ_BonW/Circ_BonW_17,15
./Circ_BonW/Circ_BonW_18,15
./Circ_BonW/Circ_BonW_19,4
./Circ_BonW/Circ_BonW_20,19
./Circ_BonW/Circ_BonW_21,14
./Circ_BonW/Circ_BonW_22,7
./Circ_BonW/Circ_BonW_23,14
./Circ_BonW/Circ_BonW_24,18
./Circ_BonW/Circ_BonW_25,14
./Circ_BonW/Circ_BonW_26,18
./Circ_BonW/Circ_BonW_27,4
./Circ_BonW/Circ_BonW_28,6
./Circ_BonW/Circ_BonW_29,13
./Circ_BonW/Circ_BonW_30,16
./Circ_BonW/Circ_BonW_31,4
./Circ_BonW/Circ_BonW_32,18
./Circ_BonW/Circ_BonW_33,19
./Circ_BonW/Circ_BonW_34,17
./Circ_BonW/Circ_BonW_35,15
./Circ_BonW/Circ_BonW_36,6
./Circ_BonW/Circ_BonW_37,16
./Circ_BonW/Circ_BonW_38,10
./Circ_BonW/Circ_BonW_39,16
./Circ_BonW/Circ_BonW_40,12
./Circ_BonW/Circ_BonW_41,9
./Circ_BonW/Circ_BonW_42,18
./Circ_BonW/Circ_BonW_43,17
./Circ_BonW/Circ_BonW_44,7
./Circ_BonW/Circ_BonW_45,16
./Circ_BonW/Circ_BonW_46,16
./Circ_BonW/Circ_BonW_47,20
./Circ_BonW/Circ_BonW_48,19
./Circ_BonW/Circ_BonW_49,14
./Circ_BonW/Circ_BonW_50,10
./Circ_BonW/Circ_BonW_51,19
./Circ_BonW/Circ_BonW_52,8
./Circ_BonW/Circ_BonW_53,11
./Circ_BonW/Circ_BonW_54,5
./Circ_BonW/Circ_BonW_55,14
./Circ_BonW/Circ_BonW_56,6
./Circ_BonW/Circ_BonW_57,20
./Circ_BonW/Circ_BonW_58,11
./Circ_BonW/Circ_BonW_59,17
./Circ_BonW/Circ_BonW_60,10
./Circ_BonW/Circ_BonW_61,10
./Circ_BonW/Circ_BonW_62,15
./Circ_BonW/Circ_BonW_63,9
./Circ_BonW/Circ_BonW_64,18
./Circ_BonW/Circ_BonW_65,6
./Circ_BonW/Circ_BonW_66,11
./Circ_BonW/Circ_BonW_67,18
./Circ_BonW/Circ_BonW_68,13
./Circ_BonW/Circ_BonW_69,14
./Circ_BonW/Circ_BonW_70,16
./Circ_BonW/Circ_BonW_71,6
./Circ_BonW/Circ_BonW_72,11
./Circ_BonW/Circ_BonW_73,10
./Circ_BonW/Circ_BonW_74,20
./Circ_BonW/Circ_BonW_75,10
./Circ_BonW/Circ_BonW_76,17
